,Lc_x,f0,angle,Peak_Sliding_Left,Peak_Uplift_Left,Peak_Sliding_Bottom,Peak_Uplift_Bottom,Peak_Sliding_Right,Peak_Uplift_Right,PGUx,PGUz,PGVx,PGVz,PGAx,PGAz
21,40,2.0,0,0.009067691,0.0013610622,0.0012752117,0.014643976,0.014743676,0.010492929,1.7976188542698104,0.9995429301372099,0.2839233,0.17690556,1.7976188542698104,0.9995429301372099
22,40,2.0,0,0.08291671,0.025145039,0.006710533,0.08299588,0.07651226,0.013587191,5.498690704166712,4.348870066677458,0.5432406,0.3460752,5.498690704166712,4.348870066677458
23,40,2.0,0,0.05415839,0.010829154,0.007151039,0.0600442,0.05997521,0.02285509,5.999230913172706,3.5898903444928685,0.5279255,0.20363948,5.999230913172706,3.5898903444928685
24,40,2.0,0,0.024756704,0.003580517,0.003458576,0.04022317,0.04022317,0.031379756,4.577244776629165,2.715425515526743,0.36348373,0.2295339,4.577244776629165,2.715425515526743
25,40,2.0,30,0.005346605,0.0011998216,0.0033653216,0.011080219,0.011304788,0.013191895,0.5953730774523471,0.9674012882865455,0.15615056,0.105874255,0.5953730774523471,0.9674012882865455
26,40,2.0,30,0.010607862,0.0020152086,0.004787459,0.022978835,0.023118688,0.025458993,1.9446971798789203,2.6743937145912042,0.25881076,0.18989903,1.9446971798789203,2.6743937145912042
27,40,2.0,30,0.090902664,0.004291761,0.008584441,0.10421604,0.10421604,0.049478855,4.248510315481539,4.581653653277108,0.50672925,0.47745582,4.248510315481539,4.581653653277108
28,40,2.0,30,0.05963634,0.004700877,0.0081121875,0.06812666,0.06826909,0.034992337,3.3216489251858974,4.446238826697211,0.33116454,0.2949902,3.3216489251858974,4.446238826697211
29,40,2.0,30,0.028928636,0.0024254539,0.0049919044,0.032956067,0.03293003,0.03281055,3.1198201800972427,3.492455620157153,0.36698785,0.28246117,3.1198201800972427,3.492455620157153
30,200,0.5,0,0.004796641,0.0029838933,0.0005035856,0.0045229075,0.0041689468,0.0012323533,0.26263080045814746,0.061330002377570914,0.18033427,0.026331844,0.26263080045814746,0.061330002377570914
31,200,0.5,0,0.0063354676,0.0015585002,0.00048697498,0.006581175,0.006580215,0.001713969,0.31426111665320633,0.03914271865122984,0.19848903,0.02341943,0.31426111665320633,0.03914271865122984
32,200,0.5,0,0.0043854467,0.0016378312,0.00026566107,0.0043854467,0.0042663976,0.0020724605,0.3373340336664228,0.0729996620294262,0.251101,0.023610102,0.3373340336664228,0.0729996620294262
33,200,0.5,0,0.004950286,0.0045575425,0.0013710776,0.004889827,0.004643691,0.002913271,0.29081262030918253,0.025932124501827414,0.21908803,0.025456557,0.29081262030918253,0.025932124501827414
34,200,0.5,0,0.0027862375,0.0026505755,0.00025781422,0.0027862375,0.0017956385,0.0007457998,0.25085730511683124,0.07684304622190102,0.1823333,0.072526045,0.25085730511683124,0.07684304622190102
35,200,0.5,30,0.0043098326,0.0009861158,0.0020044835,0.0050870813,0.005068872,0.012886349,0.22368916310009013,0.2567759802640168,0.15662943,0.11750119,0.22368916310009013,0.2567759802640168
36,200,0.5,30,0.00017247461,0.00054207904,0.0019090899,0.0012854509,0.0014250543,0.005820866,0.23723716937384864,0.16468144412618813,0.16331217,0.11352245,0.23723716937384864,0.16468144412618813
